name,price,cuisine,reviews,Location url,location,no. of reviews,City
Baithak,?200 for one,Chinese,4.1,https://www.zomato.com/jalandhar/baithak-model-town/order,Model Town,35.1K,Jalandhar
Baithak,?200 for one,Fast Food,4.1,https://www.zomato.com/jalandhar/baithak-model-town/order,Model Town,35.1K,Jalandhar
Baba Chicken,?200 for one,North Indian,4,https://www.zomato.com/jalandhar/baba-chicken-model-town/order,Model Town,13.3K,Jalandhar
Baba Chicken,?200 for one,Mughlai,4,https://www.zomato.com/jalandhar/baba-chicken-model-town/order,Model Town,13.3K,Jalandhar
Bobby Nutri Kulcha & Amritsari Allu Kulcha,?200 for one,North Indian,4,https://www.zomato.com/jalandhar/bobby-nutri-kulcha-amritsari-allu-kulcha-shastri-nagar/order,Shastri Nagar,781,Jalandhar
Bobby Nutri Kulcha & Amritsari Allu Kulcha,?200 for one,Desserts,4,https://www.zomato.com/jalandhar/bobby-nutri-kulcha-amritsari-allu-kulcha-shastri-nagar/order,Shastri Nagar,781,Jalandhar
Street Feast,?200 for one,Chinese,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
Street Feast,?200 for one,Mexican,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
Street Feast,?200 for one,Italian,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
Street Feast,?200 for one,Burger,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
Street Feast,?200 for one,Momos,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
Street Feast,?200 for one,Fast Food,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
Street Feast,?200 for one,American,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
Street Feast,?200 for one,Street Food,3.9,https://www.zomato.com/jalandhar/street-feast-urban-estate/order,Urban Estate,"1,303",Jalandhar
SCF Chaap And Kababs,?200 for one,Fast Food,3.9,https://www.zomato.com/jalandhar/scf-chaap-and-kababs-model-town/order,Model Town,"3,351",Jalandhar
SCF Chaap And Kababs,?200 for one,North Indian,3.9,https://www.zomato.com/jalandhar/scf-chaap-and-kababs-model-town/order,Model Town,"3,351",Jalandhar
SCF Chaap And Kababs,?200 for one,Rolls,3.9,https://www.zomato.com/jalandhar/scf-chaap-and-kababs-model-town/order,Model Town,"3,351",Jalandhar
SCF Chaap And Kababs,?200 for one,Chinese,3.9,https://www.zomato.com/jalandhar/scf-chaap-and-kababs-model-town/order,Model Town,"3,351",Jalandhar
Salad Master,?200 for one,Salad,4,https://www.zomato.com/jalandhar/salad-master-model-town/order,Model Town,"5,447",Jalandhar
Salad Master,?200 for one,Fast Food,4,https://www.zomato.com/jalandhar/salad-master-model-town/order,Model Town,"5,447",Jalandhar
