name,price,cuisine,reviews,Location url,location,no. of reviews,City
New H.S King Kulfi Dhaba,?100 for one,Biryani,3.9,https://www.zomato.com/jalandhar/new-h-s-king-kulfi-dhaba-shastri-nagar/order,Shastri Nagar,15.9K,Jalandhar
New H.S King Kulfi Dhaba,?100 for one,Chinese,3.9,https://www.zomato.com/jalandhar/new-h-s-king-kulfi-dhaba-shastri-nagar/order,Shastri Nagar,15.9K,Jalandhar
New H.S King Kulfi Dhaba,?100 for one,Fast Food,3.9,https://www.zomato.com/jalandhar/new-h-s-king-kulfi-dhaba-shastri-nagar/order,Shastri Nagar,15.9K,Jalandhar
New H.S King Kulfi Dhaba,?100 for one,Beverages,3.9,https://www.zomato.com/jalandhar/new-h-s-king-kulfi-dhaba-shastri-nagar/order,Shastri Nagar,15.9K,Jalandhar
New H.S King Kulfi Dhaba,?100 for one,Desserts,3.9,https://www.zomato.com/jalandhar/new-h-s-king-kulfi-dhaba-shastri-nagar/order,Shastri Nagar,15.9K,Jalandhar
Bliss Vaishno Dhaba,?100 for one,North Indian,4.1,https://www.zomato.com/jalandhar/bliss-vaishno-dhaba-shastri-nagar/order,Shastri Nagar,12.9K,Jalandhar
Bliss Vaishno Dhaba,?100 for one,Desserts,4.1,https://www.zomato.com/jalandhar/bliss-vaishno-dhaba-shastri-nagar/order,Shastri Nagar,12.9K,Jalandhar
Bliss Vaishno Dhaba,?100 for one,Beverages,4.1,https://www.zomato.com/jalandhar/bliss-vaishno-dhaba-shastri-nagar/order,Shastri Nagar,12.9K,Jalandhar
Bliss Vaishno Dhaba,?100 for one,Biryani,4.1,https://www.zomato.com/jalandhar/bliss-vaishno-dhaba-shastri-nagar/order,Shastri Nagar,12.9K,Jalandhar
Bliss Vaishno Dhaba,?100 for one,Continental,4.1,https://www.zomato.com/jalandhar/bliss-vaishno-dhaba-shastri-nagar/order,Shastri Nagar,12.9K,Jalandhar
Gfc Chaap Hub,?100 for one,Rolls,3.8,https://www.zomato.com/jalandhar/gfc-chaap-hub-adarsh-nagar/order,Adarsh Nagar,"8,701",Jalandhar
Gfc Chaap Hub,?100 for one,North Indian,3.8,https://www.zomato.com/jalandhar/gfc-chaap-hub-adarsh-nagar/order,Adarsh Nagar,"8,701",Jalandhar
